x,y,cluster
32.508102,-18.943098,3
11.587271,31.583347,3
47.456604,-0.2736917,4
-7.0809865,-0.16608992,4
-30.923275,-5.6918154,4
32.133396,26.986229,4
37.1169,-20.106915,2
18.15887,-20.744938,1
-39.319412,1.7551221,3
-5.220324,26.358871,4
17.85726,-41.65575,4
15.059594,38.686245,4
-32.301258,19.796549,2
-9.709618,-18.200787,4
22.061422,-2.8972776,3
3.021341,-22.428488,4
3.4289656,37.23502,1
20.334372,-6.185755,3
-7.601626,23.132074,4
-29.34093,31.57368,4
-34.87556,-2.1154456,4
-8.329945,3.9122405,4
40.76704,-15.16836,0
44.716705,8.247745,1
-11.572171,-45.6578,1
13.907315,10.192251,2
1.8123486,-22.152859,4
6.250028,-50.268623,4
-34.322277,-15.208795,4
-22.167585,-5.2776723,2
-12.846357,9.784747,3
7.299457,-35.370754,3
-18.202948,34.06813,4
2.0855763,-42.89794,4
14.882288,27.639,4
19.001184,-0.6158975,3
7.5874777,48.226566,1
8.477439,-27.666954,4
13.054158,-28.434227,4
9.924254,22.114094,1
-19.73936,41.506886,4
50.14252,0.71733963,3
-26.694374,13.512291,4
21.716223,-26.506329,1
-5.864538,-11.281969,3
15.766248,-45.283276,3
22.20126,-25.682169,2
-48.486637,11.7648,3
-12.407093,-2.3408442,4
-31.976898,-3.80793,3
-12.7433405,-20.29788,3
36.66658,-14.287123,4
11.508413,-25.785925,4
39.46696,22.937273,4
-3.840209,8.49733,4
-31.01801,-5.483893,4
6.0841055,8.5900135,3
-44.20289,-8.082885,3
-14.514231,-27.506931,3
6.3962793,-20.617113,1
12.776396,-49.71011,4
27.54112,28.413727,3
-6.7228107,13.349646,4
23.957182,-6.307273,3
-15.677581,-31.250547,0
28.542072,32.927135,4
36.640156,0.036353435,2
-47.611065,11.665344,2
-20.108604,-4.7707415,3
10.028252,15.799449,4
41.468826,4.317948,2
29.343287,32.41022,3
-40.0315,-6.388633,3
4.020918,38.17991,1
15.645432,-19.967966,4
15.325346,20.733444,4
-22.003183,-12.650978,4
6.856262,-49.607235,4
-22.54156,2.5542116,4
40.879005,3.9057662,4
-36.407143,-33.242886,3
37.552258,10.412455,4
-17.880144,-36.67069,2
-24.217611,-40.319153,0
-6.3894386,4.049252,0
24.188671,6.7869716,4
2.0029194,50.434967,1
-2.355414,16.780909,3
-17.586155,16.186663,4
21.948833,-13.76592,3
-44.071945,21.956451,2
24.145971,2.1425347,3
-23.333618,2.8941023,3
6.2847085,-49.803986,4
-29.024424,11.067015,4
-4.64952,-17.203531,0
-8.483464,19.002588,2
4.020394,49.95616,1
34.892147,28.4476,4
5.228981,15.831965,2
7.068061,6.5566,1
-26.234608,-7.3314033,1
12.7811775,23.22625,1
13.447116,26.617632,1
21.546432,-29.207367,3
-13.995666,-15.581425,4
-30.723364,-11.222434,3
-3.2957532,-22.791517,0
-19.882557,32.958076,2
-9.184817,48.54968,2
13.994045,-7.447224,4
-9.648354,-38.41474,0
20.712883,-46.774742,4
0.9488766,31.019478,4
38.232513,18.06507,3
-15.660975,-9.246823,3
19.696335,35.382313,3
32.52869,-13.00795,3
-34.47386,19.290262,2
-27.830433,13.343876,4
14.50374,-0.24150275,3
-16.98581,36.194527,2
-26.543352,19.986528,4
-45.743805,-9.9147005,2
8.372689,-32.57351,4
-6.0175066,-25.646982,4
-9.915046,-3.3986268,3
34.503803,4.916107,3
-15.016206,18.251453,4
-10.770768,3.0664947,3
-3.0889564,20.40308,4
-23.061563,18.258154,2
-10.620648,18.461512,4
-26.82801,-5.3522353,4
-7.3195915,20.193808,2
-36.705936,-25.361027,0
3.8894837,50.666508,1
28.13417,8.707673,4
8.267888,-32.08383,4
32.635757,-4.6978216,4
-8.159194,4.484364,3
-37.63337,16.073215,4
-13.881029,20.095604,0
-24.723595,17.61485,3
41.906666,7.456299,1
35.77518,29.236301,4
-26.351181,18.342257,2
-2.2775514,-15.452985,4
10.830616,-35.190414,4
-4.369957,-12.236521,3
6.2710776,1.2672023,3
18.987272,2.2874904,0
22.410816,17.249842,4
23.422539,15.098496,4
-1.9995621,16.02005,4
9.321233,-12.247223,4
40.9709,-0.5649269,3
-35.782387,12.155279,3
-28.470856,15.221657,3
20.46281,-5.805427,3
-24.940125,-7.877673,3
-44.63251,-8.678606,3
47.844616,0.119789355,4
33.723366,5.148832,1
17.138905,-7.8860836,3
35.842197,-12.771317,0
-18.74884,15.675006,3
-36.712456,16.623043,4
26.308159,17.9389,4
-2.9626856,-19.253452,0
8.765602,-25.237936,4
26.161556,18.20373,4
11.549266,27.788378,1
35.53135,15.083909,3
-46.41107,-9.923749,3
-42.050762,1.4311835,4
39.987717,19.70387,3
28.562864,23.454384,4
-5.129156,-6.74455,2
-32.846413,-28.474152,0
4.0191965,40.895912,3
-35.38655,-35.590786,3
